part,number,text
part1,1-1问,Do you prefer to travel by bike or by bus?
part1,1-1答,"I prefer cycling to travelling by bus. Cycling is so much more convenient than taking the bus if you are not travelling too far. Actually, it is often faster to go by bike because I won't get stuck in traffic congestion! Cycling is also better for my health than all other means of transport because it is a form of physical exercise."
part1,1-2问,Do you prefer chatting online or talking on the phone?
part1,1-2答,"Generally, I prefer chatting online. I always find that chatting online can be more sociable as you can speak to more than one person at the same time. Also, chatting online is often much more fun because you can send smileys, photos and even videos!"
part1,1-3问,Tell me about your usual daily routine.
part1,1-3答,"Well, usually I wake up around 8 a.m. I always have a cup of coffee while I review my study notes over breakfast. Then I normally ride my bike to school, apart from in winter, when it is way too cold. Before class starts I often meet up with my classmates in the corridor and we gossip a bit about life and school. After school, I always go straight home and then start on my homework while my mum cooks me dinner. I usually go to bed at about 10 p.m."
part1,1-4问,Do you do the same thing at the same time every day?
part1,1-4答,"Yes, I have a very regular schedule because of my job. I always wake up just after 7 in the morning, then eat my breakfast on the way to the subway station. I get to work at 8 o’clock sharp, and usually work until 5, sometimes I work overtime until 7 or 8. After I get home I normally eat dinner with my wife and after that either hang out with friends or watch TV before going to bed at about 11."
part1,1-5问,What do you like to do in your spare time?
part1,1-5答,"Well, I have lots of hobbies I like to do in my spare time. I am very interested in studying English and I am also quite into movies — sometimes I combine these two interests by watching British or American films. What I particularly enjoy doing, though, is playing football - it is so exciting!"
part1,1-6问,What do you like to do in the evening?
part1,1-6答,"I work really hard during the day so in the evening I like to relax and unwind. I am a big fan of hip-hop and rock music, and I like hanging out with friends and watching gigs. I am also keen on reading novels and short stories. I am involved in a reading group at my university and every so often we get together and discuss the latest books we’veread over dinner — it’s so stimulating to talk and hear different views about the books we have all read."
part1,1-7问,What do you dislike about parties?
part1,1-7答,"Well, I generally enjoy the parties I go to, but there are a few things I don’t like. I don’t like all the drinking that usually happens and I am not keen on meeting lots of new people at parties. If there are too many strangers at a party I find myself having the same conversation again and again: Where are you from? What is your major? What is your job? I can’t stand repeating myself and this kind of conversation is very superficial; I can’t really get to know the person at all. Totally a waste of time!"
part1,1-8问,What don’t you like about your job?
part1,1-8答,"I don’t particularly like my job. I am not interested in the field I work in, and I don’t like my line manager or many of my colleagues very much - they are all so boring. But what I absolutely hate about my job is the commute. It takes me about 2 hours to get to work; I have to travel during the rush hour on the subway and public buses which are always jam-packed with people — it is terrible!"
part1,1-9问,How often do you read books?
part1,1-9答,"To be honest, I am always reading books; I am a complete bookworm! I usually read novels, but sometimes I mix it up slightly and read books about history or nature. I prefer reading novels because they are a great way to relax and escape from daily life, but I  also enjoy history and nature books because they help me learn more about the world we live in. From time to time I might some poetry, but I have to be in the right mood."
part1,1-10问,What do you like most about student life?
part1,1-10答,"What I particularly like about student life is the golden opportunity it gives me to expand my horizons. At University I can not only increase my knowledge about my major and learn new things like Dancing and yoga, but I can also meet lots of new people."
part1,1-11问,What is the best thing about your hometown?
part1,1-11答,"My hometown is Xiamen, in Fujian Province. The best thing about my hometown is its location. It’s right on the coast, and from most places in the city there are beautiful views of the sea. Although we get the odd typhoon every year because we are by the seaside, we also enjoy light sea breezes during the summer. But what I especially value about Xiamen’s location is the fresh seafood we can eat all year round."
part1,1-12问,Is music popular in China?
part1,1-12答,"I think it depends on what kind of music you are talking about. Most people in China listen to music every day. Usuallly the younger generation listens to pop, rock or hip-hop music, whereas older people tend to listen to older Chinese songs or folk music."
part1,1-13问,What time of year is best for outdoor activities where you live?
part1,1-13答,"I think the best time of year to do outdoor activities is either in the summer or in the winter, because it depends on what activities you would like to do. The weather between June and early September provides the best conditions for rock climbing, hiking, mountain biking or playing sports like tennis and football because it is warm, sunny and bright. However, if you are into winter activities like ice-skating, sledging and snowboarding then the depth of winter is the best time to do them."
part1,1-14问,What is the best time of day to study?
part1,1-14答,"I think the best time of day to study is in the very early morning, just after dawn. This is the quietest time of the day, when there is no one else around and everywhere is completely silent. This means I am able to really get into what I’m studying and not be distracted by friends or family. It’s definitely the most productive time of day for me, I just find it difficult to get up so early!"
part1,1-15问,Why do some people like cooking?
part1,1-15答,"I think people of all ages enjoy cooking, especially creative people. For those who love to create new things, cooking provides a great way to express themselves as they can experiment with different dishes and ingredients. Even quite conservative people like cooking; as everything needs to be created from scratch, it can be very satisfying to successfully cook a whole meal from start to finish."
part1,1-16问,Why do some people like gardening?
part1,1-16答,"Gardening is most popular with middle-aged and elderly people, probably because gardening is a very therapeutic and relaxing activity. Members of the older generation are generally more patient and often prefer less energetic activities - gardening is a good way to unwind whilst making their home more beautiful."
part1,1-17问,When was the first / last time you went on holiday?
part1,1-17答,"The last time I went on holiday was about 3 years ago. My family and I went to Hainan for 2 weeks during the Spring Festival. Hainan is an intriguing place to visit because of the Li and Miao minority culture in the west of the island - my family and I drove out to the mountains there, trekked in the Forest Reserve and then learnt how to scuba dive. I really can’t wait to go back there!"
part1,1-18问,When was the last time visitors came to your house?
part1,1-18答,"The last time visitors came to my house was just last week. It was my wife’s birthday, and so I secretly arranged for a few close friends to come over for dinner and drinks. Although it  was difficult to keep my wife from finding out, it was quite exciting in a way and certainly a bit of a challenge! In the end, everything went to plan and we all had a great time - it was definitely a really enjoyable evening."
part1,1-19问,Did you ever learn to swim when you were in school?
part1,1-19答,"I did not learn to swim at school because my school did not have any swimming classes, but I learned to swim for a few months one summer when my parents took me to classes at the local swimming pool. I went every other day with a small group of friends. We were taught by a really friendly and supportive man, who was a semi-professional swimmer."
part1,1-20问,How have restaurants changed in your country since you were a child?
part1,1-20答,"Restaurants and eateries have changed a great deal since I was young. When I was a kid nearly all restaurants in our city were cheap and quite simple. Now, however, a wide range of Chinese and many international restaurants line every street. These are a lot cleaner and more elegant than the small eateries, but sadly are much more expensive!"
part1,1-21问,How would you improve your apartment?
part1,1-21答,"To start with, the place I am living in now is quite small and crowded. I have too much stuff, and it makes it hard to keep track of things, and makes everything look messy and very cramped. There is also very little light in my ﬂat. So, firstly, I would make more space by getting rid of some of my things. Then, I would have the windows made bigger and lighter curtains made and fitted. Then my ﬂat would be much cosier."
part1,1-22问,to make it better?
part1,1-22答,"My university campus is quite scruffy and run-down. I suggest the authorises improve it by spending more money on up-keeping the grounds and modernising the classrooms. If I were in authority would have new classrooms built, I would have the sports facilities repaired, and I would hire more caretakers. Having a more modern campus would make life more pleasant for us, and the place more appealing to visitors."
part1,1-23问,How important is art in life?
part1,1-23答,"I think art is exceedingly important in life, especially today. People spend most of their lives worrying about working, studying or earning money and it is easy to forget the value of art - paintings, sculptures and even contemporary architecture. People need to see beauty in their lives...  art is really fascinating and can inspire us to think more deeply."
part1,1-24问,How important is music for people in your country?
part1,1-24答,"Well, it really depends on the types of people you are talking about. In general, music is especially important for young people, in particular, university students from big cities. Personally, I believe that some types of music are good for helping people calm down and relax, and other types are excellent for energising people. Going to live concerts, for example, can be a really stimulating experience."
part1,1-25问,What do you want to do when you finish university?
part1,1-25答,What I really hope to do is work for an XXX in China. I would like to find a purpose in life - I don’t want to just worry about success and making money like a lot of people nowadays. I  think it would be so rewarding and challenging to work as a volunteer. If I work really hard and save up enough money then I will get a master's degree.
part1,1-26问,Do students get enough holidays in your country?
part1,1-26答,"I believe that they get too many holidays. Most students have a long summer vacation, a fairly long Spring Festival break, national holidays and all sorts of other days off throughout the year. Because of this a vast amount of students forget a lot of what they’ve learned during the longer holidays, and take a long time to get back into the frame of mind to study well. It would be good if the holidays were a bit shorter."
part1,1-27问,and international news where you come from?
part1,1-27答,"Nowadays, it is easier than ever to stay on top of current events in China. There are many different sources of news. There are newsstands in every major city selling all kinds of magazines and newspapers, which often run interesting features on everything from fashion to international affairs. But generally, I surf the internet to stay up-to-date with what is going on in TikTok. Though some people are not very objective, their opinions are interesting to read, and usually offer a different viewpoint to what I read in the mass media."
part1,1-28问,Should people be given longer holidays?
part1,1-28答,"Yes, they certainly should! As I see it, people often work very long hours but don't get a  high salary or very many benefits in return. In fact, many workers frequently do unpaid overtime for their companies. I strongly believe that workers deserve to be given longer paid holidays so that they can relax more. In my opinion, if people are given more paid holidays they are more loyal to their company in the long term and probably work harder because they are more contented with their job."
part1,1-29问,should be required to wear a school uniform?
part1,1-29答,"Absolutely not! I strongly believe that students should have the freedom to wear what they like in school. I think it is unfair to make children all look the same. School is a place for hard work and study, but also a place for children to learn to become individuals with their own styles, ideas and opinions. Young people ought to be given more choice in what they wear. If children are controlled too much when they are young, they can become very rebellious in later years."
part1,1-30问,Is it difficult to learn another language?
part1,1-30答,"I think that learning a language is extremely difficult - probably one of the hardest things someone can do. When you first begin learning, it can be very confusing to remember lots of unfamiliar words and grammar. It often feels a bit awkward and you have to get used to making mistakes."
part1,1-31问,Do you think it is difficult for young people to learn to play musical instruments?
part1,1-31答,"I believe that is pretty difficult for most people. However, I think that young people can usually pick up new things relatively quickly. At first, it's quite hard to get into learning an instrument, but when they get the hang of it, it is not too hard to learn some simple tunes, espacially those kids who are dedicated in the beginning, I think after a while they will become quite proficient."
part1,1-32问,Do you think that computer games are suitable for young children?
part1,1-32答,"I believe that computer games are inappropriate for very young children. For older children, I think it is reasonable for them to play computer games but it would be advisable for their parents to restrict the amount of time they play games. As most people know, staring at a computer screen for too long can be detrimental to eyesight. Also, games that are really violent or scary are not suitable as they might have a negative impact on the child's mental health."
part1,1-33问,Are outdoor sports suitable for people of all ages?
part1,1-33答,"I think that most outdoor sports are suitable for everyone. Though people who do adventurous sports like rock-climbing, abseiling, or white water rafting, should be careful because these sports can be dangerous if you don't know what you are doing. In fact, now I think about it, for kids and elderly people I think those sports are unsuitable. However, for fit and healthy people these sports can be exhilarating and invigorating."
